,pid,eid,probe,lab,subject,institute,lab_number,region,date,n_channels,neuron_yield,total_yield,lfp_power,lfp_theta_power,lfp_power_raw,lfp_theta_power_raw,rms_ap_p90,n_trials,behavior,age_at_recording,n_sess_before_recording
44,e31b4e39-e350-47a9-aca4-72496d99ff2a,746d1902-fa59-4cab-b0aa-013be36060d5,probe00,mainenlab,ZFM-01592,CCU,Lab 2,LP,2020-10-20,68,63,0.6594594594594595,-183.96942567608323,-165.0519510415761,-172.00609,-136.57071,23.09516338427702,660,True,128.0,27.0
45,e31b4e39-e350-47a9-aca4-72496d99ff2a,746d1902-fa59-4cab-b0aa-013be36060d5,probe00,mainenlab,ZFM-01592,CCU,Lab 2,PO,2020-10-20,84,99,0.6594594594594595,-189.61313283393415,-174.62693822333844,-176.07549,-141.42535,22.219038810676505,660,True,128.0,27.0
46,6fc4d73c-2071-43ec-a756-c6c6d8322c8b,dac3a4c1-b666-4de0-87e8-8c514483cacf,probe01,hoferlab,SWC_060,SWC,Lab 6,PPC,2020-11-24,68,0,0.20054945054945056,-171.2991474634798,-145.38843303351229,-190.15108,-164.49062,12.348751213820051,501,True,119.0,25.0
47,6fc4d73c-2071-43ec-a756-c6c6d8322c8b,dac3a4c1-b666-4de0-87e8-8c514483cacf,probe01,hoferlab,SWC_060,SWC,Lab 6,CA1,2020-11-24,58,0,0.20054945054945056,-161.0613968510236,-136.194268149978,-168.9518,-138.24579,17.990809485237513,501,True,119.0,25.0
48,6fc4d73c-2071-43ec-a756-c6c6d8322c8b,dac3a4c1-b666-4de0-87e8-8c514483cacf,probe01,hoferlab,SWC_060,SWC,Lab 6,DG,2020-11-24,72,6,0.20054945054945056,-158.24075303141194,-135.8446255425339,-157.88966,-127.74113,15.923618063338719,501,True,119.0,25.0
49,6fc4d73c-2071-43ec-a756-c6c6d8322c8b,dac3a4c1-b666-4de0-87e8-8c514483cacf,probe01,hoferlab,SWC_060,SWC,Lab 6,LP,2020-11-24,66,27,0.20054945054945056,-186.13619157247751,-165.47054366117453,-175.05879,-142.93835,18.17640831510549,501,True,119.0,25.0
50,6fc4d73c-2071-43ec-a756-c6c6d8322c8b,dac3a4c1-b666-4de0-87e8-8c514483cacf,probe01,hoferlab,SWC_060,SWC,Lab 6,PO,2020-11-24,56,33,0.20054945054945056,-186.51249094754093,-169.0166360248376,-177.34273,-145.58807,21.433675784458174,501,True,119.0,25.0
51,4836a465-c691-4852-a0b1-dcd2b1ce38a1,caa5dddc-9290-4e27-9f5e-575ba3598614,probe00,steinmetzlab,NR_0031,UW,Lab 9,PPC,2023-07-14,0,0,0.36046511627906974,,,-177.34273,-145.58807,0.0,404,True,,
52,4836a465-c691-4852-a0b1-dcd2b1ce38a1,caa5dddc-9290-4e27-9f5e-575ba3598614,probe00,steinmetzlab,NR_0031,UW,Lab 9,CA1,2023-07-14,36,13,0.36046511627906974,-166.52576358116917,-144.02975311872615,-141.66978,-140.0149,10.84556762465443,404,True,,
53,4836a465-c691-4852-a0b1-dcd2b1ce38a1,caa5dddc-9290-4e27-9f5e-575ba3598614,probe00,steinmetzlab,NR_0031,UW,Lab 9,DG,2023-07-14,34,10,0.36046511627906974,-161.5862911707552,-136.211328644546,-140.92899,-135.33186,10.870890739789322,404,True,,
54,4836a465-c691-4852-a0b1-dcd2b1ce38a1,caa5dddc-9290-4e27-9f5e-575ba3598614,probe00,steinmetzlab,NR_0031,UW,Lab 9,LP,2023-07-14,0,0,0.36046511627906974,,,-140.92899,-135.33186,0.0,404,True,,
55,4836a465-c691-4852-a0b1-dcd2b1ce38a1,caa5dddc-9290-4e27-9f5e-575ba3598614,probe00,steinmetzlab,NR_0031,UW,Lab 9,PO,2023-07-14,0,0,0.36046511627906974,,,-140.92899,-135.33186,0.0,404,True,,
56,1e176f17-d00f-49bb-87ff-26d237b525f1,a8a8af78-16de-4841-ab07-fde4b5281a03,probe00,angelakilab,NYU-12,NYU,Lab 4,PPC,2020-01-22,52,14,0.17696629213483145,-171.51751071186476,-142.1768924316007,-181.12917,-144.71057,16.750530059145277,550,True,148.0,46.0
57,1e176f17-d00f-49bb-87ff-26d237b525f1,a8a8af78-16de-4841-ab07-fde4b5281a03,probe00,angelakilab,NYU-12,NYU,Lab 4,CA1,2020-01-22,46,6,0.17696629213483145,-162.99184838856053,-135.81407951542872,-169.12196,-135.60619,16.373963295614253,550,True,148.0,46.0
58,1e176f17-d00f-49bb-87ff-26d237b525f1,a8a8af78-16de-4841-ab07-fde4b5281a03,probe00,angelakilab,NYU-12,NYU,Lab 4,DG,2020-01-22,30,5,0.17696629213483145,-155.0252229537956,-126.94106259409509,-157.5085,-123.744,18.725309087994155,550,True,148.0,46.0
59,1e176f17-d00f-49bb-87ff-26d237b525f1,a8a8af78-16de-4841-ab07-fde4b5281a03,probe00,angelakilab,NYU-12,NYU,Lab 4,LP,2020-01-22,54,1,0.17696629213483145,-183.00350559969223,-165.68691793964447,-183.93803,-154.24156,21.5755088264514,550,True,148.0,46.0
60,1e176f17-d00f-49bb-87ff-26d237b525f1,a8a8af78-16de-4841-ab07-fde4b5281a03,probe00,angelakilab,NYU-12,NYU,Lab 4,PO,2020-01-22,2,1,0.17696629213483145,-187.65077099863606,-172.17174420420247,-184.19353,-155.08347,20.266260550406706,550,True,148.0,46.0
61,92033a0c-5a14-471b-b131-d43c72ca5d7a,f115196e-8dfe-4d2a-8af3-8206d93c1729,probe00,steinmetzlab,NR_0021,UW,Lab 9,PPC,2022-06-23,66,16,0.1721311475409836,-174.0864194832996,-144.75316290629914,-152.7621,-110.3894,13.743939051556458,645,False,223.0,53.0
62,92033a0c-5a14-471b-b131-d43c72ca5d7a,f115196e-8dfe-4d2a-8af3-8206d93c1729,probe00,steinmetzlab,NR_0021,UW,Lab 9,CA1,2022-06-23,42,3,0.1721311475409836,-169.63952218300875,-145.66601416560502,-152.35881,-110.4006,12.238551683048417,645,False,223.0,53.0
63,92033a0c-5a14-471b-b131-d43c72ca5d7a,f115196e-8dfe-4d2a-8af3-8206d93c1729,probe00,steinmetzlab,NR_0021,UW,Lab 9,DG,2022-06-23,60,1,0.1721311475409836,-162.57672314707358,-139.47443649037598,-151.2134,-111.007484,11.78593162366935,645,False,223.0,53.0
64,92033a0c-5a14-471b-b131-d43c72ca5d7a,f115196e-8dfe-4d2a-8af3-8206d93c1729,probe00,steinmetzlab,NR_0021,UW,Lab 9,LP,2022-06-23,14,4,0.1721311475409836,-177.5622128016146,-153.3191626350758,-152.47812,-110.30127,16.885460027884232,645,False,223.0,53.0
65,92033a0c-5a14-471b-b131-d43c72ca5d7a,f115196e-8dfe-4d2a-8af3-8206d93c1729,probe00,steinmetzlab,NR_0021,UW,Lab 9,PO,2022-06-23,0,0,0.1721311475409836,,,-152.47812,-110.30127,0.0,645,False,223.0,53.0
66,16799c7a-e395-435d-a4c4-a678007e1550,0a018f12-ee06-4b11-97aa-bbbff5448e9f,probe00,cortexlab,KS051,UCL,Lab 1,PPC,2021-05-11,60,35,0.3361581920903955,-167.40176231129882,-138.0886470006299,-184.42168,-149.4654,17.33329194627189,478,True,168.0,63.0
67,16799c7a-e395-435d-a4c4-a678007e1550,0a018f12-ee06-4b11-97aa-bbbff5448e9f,probe00,cortexlab,KS051,UCL,Lab 1,CA1,2021-05-11,56,3,0.3361581920903955,-155.36620820653926,-126.7128016546332,-163.45792,-127.81419,11.653818567955653,478,True,168.0,63.0
68,16799c7a-e395-435d-a4c4-a678007e1550,0a018f12-ee06-4b11-97aa-bbbff5448e9f,probe00,cortexlab,KS051,UCL,Lab 1,DG,2021-05-11,68,9,0.3361581920903955,-151.29638663243233,-127.35525122593818,-154.2301,-123.78705,11.961179765414068,478,True,168.0,63.0
69,16799c7a-e395-435d-a4c4-a678007e1550,0a018f12-ee06-4b11-97aa-bbbff5448e9f,probe00,cortexlab,KS051,UCL,Lab 1,LP,2021-05-11,62,37,0.3361581920903955,-185.13648508043107,-161.3470691671876,-174.74933,-139.78934,16.86923337978379,478,True,168.0,63.0
70,16799c7a-e395-435d-a4c4-a678007e1550,0a018f12-ee06-4b11-97aa-bbbff5448e9f,probe00,cortexlab,KS051,UCL,Lab 1,PO,2021-05-11,0,0,0.3361581920903955,,,-174.74933,-139.78934,0.0,478,True,168.0,63.0
