,pid,eid,probe,lab,subject,region,date,n_channels,neuron_yield,lfp_power_high,lfp_band_high,rms_ap_p90
95,5246af08-0730-40f7-83de-29b5d62b9b6d,c51f34d8-42f6-4c9c-bb5b-669fd9c42cd9,probe00,angelakilab,NYU-48,PO,2021-06-28,0,0,,"[20, 80]",0.0
96,7d999a68-0215-4e45-8e6c-879c6ca2b771,0802ced5-33a3-405e-8336-b65ebc5cb07c,probe00,mainenlab,ZFM-02373,PPC,2021-06-23,94,2,-175.11324,"[20, 80]",17.91942920335672
97,7d999a68-0215-4e45-8e6c-879c6ca2b771,0802ced5-33a3-405e-8336-b65ebc5cb07c,probe00,mainenlab,ZFM-02373,CA1,2021-06-23,58,6,-163.56764,"[20, 80]",14.90728868947302
98,7d999a68-0215-4e45-8e6c-879c6ca2b771,0802ced5-33a3-405e-8336-b65ebc5cb07c,probe00,mainenlab,ZFM-02373,DG,2021-06-23,34,2,-158.60326,"[20, 80]",15.41816083112446
99,7d999a68-0215-4e45-8e6c-879c6ca2b771,0802ced5-33a3-405e-8336-b65ebc5cb07c,probe00,mainenlab,ZFM-02373,LP,2021-06-23,54,31,-172.28203,"[20, 80]",25.794782227478446
100,7d999a68-0215-4e45-8e6c-879c6ca2b771,0802ced5-33a3-405e-8336-b65ebc5cb07c,probe00,mainenlab,ZFM-02373,PO,2021-06-23,60,34,-174.54982,"[20, 80]",26.27405962290804
101,9117969a-3f0d-478b-ad75-98263e3bfacf,b03fbc44-3d8e-4a6c-8a50-5ea3498568e0,probe00,danlab,DY_010,PPC,2020-01-27,84,33,-188.86877,"[20, 80]",13.738465007570348
102,9117969a-3f0d-478b-ad75-98263e3bfacf,b03fbc44-3d8e-4a6c-8a50-5ea3498568e0,probe00,danlab,DY_010,CA1,2020-01-27,54,16,-172.6429,"[20, 80]",16.72667514791876
103,9117969a-3f0d-478b-ad75-98263e3bfacf,b03fbc44-3d8e-4a6c-8a50-5ea3498568e0,probe00,danlab,DY_010,DG,2020-01-27,66,15,-154.65483,"[20, 80]",20.347046120442567
104,9117969a-3f0d-478b-ad75-98263e3bfacf,b03fbc44-3d8e-4a6c-8a50-5ea3498568e0,probe00,danlab,DY_010,LP,2020-01-27,42,18,-177.15137,"[20, 80]",19.56222828847442
105,9117969a-3f0d-478b-ad75-98263e3bfacf,b03fbc44-3d8e-4a6c-8a50-5ea3498568e0,probe00,danlab,DY_010,PO,2020-01-27,70,46,-182.20763,"[20, 80]",22.94480463991581
106,febb430e-2d50-4f83-87a0-b5ffbb9a4943,db4df448-e449-4a6f-a0e7-288711e7a75a,probe00,danlab,DY_009,PPC,2020-02-27,0,0,,"[20, 80]",0.0
107,febb430e-2d50-4f83-87a0-b5ffbb9a4943,db4df448-e449-4a6f-a0e7-288711e7a75a,probe00,danlab,DY_009,CA1,2020-02-27,48,14,-172.59163,"[20, 80]",16.068112136484466
108,febb430e-2d50-4f83-87a0-b5ffbb9a4943,db4df448-e449-4a6f-a0e7-288711e7a75a,probe00,danlab,DY_009,DG,2020-02-27,64,13,-158.10918,"[20, 80]",21.149416583515915
109,febb430e-2d50-4f83-87a0-b5ffbb9a4943,db4df448-e449-4a6f-a0e7-288711e7a75a,probe00,danlab,DY_009,LP,2020-02-27,38,21,-182.91132,"[20, 80]",15.42083974269216
110,febb430e-2d50-4f83-87a0-b5ffbb9a4943,db4df448-e449-4a6f-a0e7-288711e7a75a,probe00,danlab,DY_009,PO,2020-02-27,0,0,,"[20, 80]",0.0
111,4b93a168-0f3b-4124-88fa-a57046ca70e1,7cb81727-2097-4b52-b480-c89867b5b34c,probe01,mrsicflogellab,SWC_052,PPC,2020-10-22,0,0,,"[20, 80]",0.0
112,4b93a168-0f3b-4124-88fa-a57046ca70e1,7cb81727-2097-4b52-b480-c89867b5b34c,probe01,mrsicflogellab,SWC_052,CA1,2020-10-22,62,1,-165.56773,"[20, 80]",16.41795421291078
113,4b93a168-0f3b-4124-88fa-a57046ca70e1,7cb81727-2097-4b52-b480-c89867b5b34c,probe01,mrsicflogellab,SWC_052,DG,2020-10-22,58,4,-155.67531,"[20, 80]",18.097925118368412
114,4b93a168-0f3b-4124-88fa-a57046ca70e1,7cb81727-2097-4b52-b480-c89867b5b34c,probe01,mrsicflogellab,SWC_052,LP,2020-10-22,38,9,-174.8061,"[20, 80]",17.022850724492734
115,4b93a168-0f3b-4124-88fa-a57046ca70e1,7cb81727-2097-4b52-b480-c89867b5b34c,probe01,mrsicflogellab,SWC_052,PO,2020-10-22,0,0,,"[20, 80]",0.0
116,bc1602ba-dd6c-4ae4-bcb2-4925e7c8632a,30c4e2ab-dffc-499d-aae4-e51d6b3218c2,probe00,mainenlab,ZFM-02370,PPC,2021-04-29,10,8,-172.63817,"[20, 80]",17.169493155941645
117,bc1602ba-dd6c-4ae4-bcb2-4925e7c8632a,30c4e2ab-dffc-499d-aae4-e51d6b3218c2,probe00,mainenlab,ZFM-02370,CA1,2021-04-29,32,18,-169.45692,"[20, 80]",20.667966289675668
118,bc1602ba-dd6c-4ae4-bcb2-4925e7c8632a,30c4e2ab-dffc-499d-aae4-e51d6b3218c2,probe00,mainenlab,ZFM-02370,DG,2021-04-29,0,0,,"[20, 80]",0.0
119,bc1602ba-dd6c-4ae4-bcb2-4925e7c8632a,30c4e2ab-dffc-499d-aae4-e51d6b3218c2,probe00,mainenlab,ZFM-02370,LP,2021-04-29,0,0,,"[20, 80]",0.0
120,bc1602ba-dd6c-4ae4-bcb2-4925e7c8632a,30c4e2ab-dffc-499d-aae4-e51d6b3218c2,probe00,mainenlab,ZFM-02370,PO,2021-04-29,22,17,-171.67654,"[20, 80]",36.52910417247009
121,7cbecb3f-6a8a-48e5-a3be-8f7a762b5a04,71e55bfe-5a3a-4cba-bdc7-f085140d798e,probe00,angelakilab,NYU-26,PPC,2020-08-18,0,0,,"[20, 80]",0.0
122,7cbecb3f-6a8a-48e5-a3be-8f7a762b5a04,71e55bfe-5a3a-4cba-bdc7-f085140d798e,probe00,angelakilab,NYU-26,CA1,2020-08-18,20,10,-170.6137,"[20, 80]",14.820701876779342
123,7cbecb3f-6a8a-48e5-a3be-8f7a762b5a04,71e55bfe-5a3a-4cba-bdc7-f085140d798e,probe00,angelakilab,NYU-26,DG,2020-08-18,62,21,-154.926,"[20, 80]",18.454210140455082
124,7cbecb3f-6a8a-48e5-a3be-8f7a762b5a04,71e55bfe-5a3a-4cba-bdc7-f085140d798e,probe00,angelakilab,NYU-26,LP,2020-08-18,0,0,,"[20, 80]",0.0
125,7cbecb3f-6a8a-48e5-a3be-8f7a762b5a04,71e55bfe-5a3a-4cba-bdc7-f085140d798e,probe00,angelakilab,NYU-26,PO,2020-08-18,0,0,,"[20, 80]",0.0
126,c07d13ed-e387-4457-8e33-1d16aed3fd92,824cf03d-4012-4ab1-b499-c83a92c5589e,probe00,churchlandlab_ucla,UCLA011,PPC,2021-07-20,62,7,-177.1726,"[20, 80]",17.273720541412388
127,c07d13ed-e387-4457-8e33-1d16aed3fd92,824cf03d-4012-4ab1-b499-c83a92c5589e,probe00,churchlandlab_ucla,UCLA011,CA1,2021-07-20,50,2,-164.51387,"[20, 80]",17.991018763166828
