,pid,eid,probe,lab,subject,region,date,n_channels,neuron_yield,median_firing_rate,mean_firing_rate,spike_amp_mean,spike_amp_90,pt_ratio,rp_slope,lfp_power_low,lfp_power_high,lfp_band_low,lfp_band_high,rms_ap,rms_ap_p90
36,0851db85-2889-4070-ac18-a40e8ebd96ba,73918ae1-e4fd-4c18-b132-00cb555b1ad2,probe01,wittenlab,ibl_witten_27,PPC,2021-01-21,86,21.0,1.5948920576520331,3.1807878848791877,147.14496004427352,,0.40214041732191336,22.343548841924203,-157.85727,-183.36931,"[2, 15]","[20, 80]",5492614.0,16.7
37,0851db85-2889-4070-ac18-a40e8ebd96ba,73918ae1-e4fd-4c18-b132-00cb555b1ad2,probe01,wittenlab,ibl_witten_27,CA1,2021-01-21,66,7.0,1.007888022428681,0.8466538581758934,147.80008116883118,,0.40626824000848866,24.548270089285715,-152.65515,-178.12639,"[2, 15]","[20, 80]",5315498.0,16.7
38,0851db85-2889-4070-ac18-a40e8ebd96ba,73918ae1-e4fd-4c18-b132-00cb555b1ad2,probe01,wittenlab,ibl_witten_27,DG,2021-01-21,52,1.0,1.9980937988498413,1.9980937988498413,80.60661764705887,80.60661764705887,0.7480736041226044,,-139.63655,-163.86087,"[2, 15]","[20, 80]",4723388.0,16.7
39,0851db85-2889-4070-ac18-a40e8ebd96ba,73918ae1-e4fd-4c18-b132-00cb555b1ad2,probe01,wittenlab,ibl_witten_27,LP,2021-01-21,10,0.0,,,,,,,-151.05255,-175.54561,"[2, 15]","[20, 80]",5717118.0,16.7
40,0851db85-2889-4070-ac18-a40e8ebd96ba,73918ae1-e4fd-4c18-b132-00cb555b1ad2,probe01,wittenlab,ibl_witten_27,PO,2021-01-21,0,,,,,,,,,,"[2, 15]","[20, 80]",,16.7
41,eeb27b45-5b85-4e5c-b6ff-f639ca5687de,f312aaec-3b6f-44b3-86b4-3a0c119c0438,probe00,churchlandlab,CSHL058,PPC,2020-07-07,100,49.0,1.4416033632988534,3.294177179177852,142.13335928608683,,0.47579986362075244,19.686786403100626,-154.76105,-184.0694,"[2, 15]","[20, 80]",4447651.0,21.2
42,eeb27b45-5b85-4e5c-b6ff-f639ca5687de,f312aaec-3b6f-44b3-86b4-3a0c119c0438,probe00,churchlandlab,CSHL058,CA1,2020-07-07,46,7.0,2.6011236652935357,6.485299580857111,132.61422500918908,162.80745967741936,0.4620796627610725,17.866726792573644,-138.65834,-166.57512,"[2, 15]","[20, 80]",4681919.0,21.2
43,eeb27b45-5b85-4e5c-b6ff-f639ca5687de,f312aaec-3b6f-44b3-86b4-3a0c119c0438,probe00,churchlandlab,CSHL058,DG,2020-07-07,50,0.0,,,,,,,-123.88567,-154.40038,"[2, 15]","[20, 80]",4886102.5,21.2
44,eeb27b45-5b85-4e5c-b6ff-f639ca5687de,f312aaec-3b6f-44b3-86b4-3a0c119c0438,probe00,churchlandlab,CSHL058,LP,2020-07-07,70,49.0,6.405073341993239,7.695037802949159,136.16446139295329,162.1900303643724,0.46358263588823906,17.83763069557398,-147.00877,-173.8545,"[2, 15]","[20, 80]",8245314.0,21.2
45,eeb27b45-5b85-4e5c-b6ff-f639ca5687de,f312aaec-3b6f-44b3-86b4-3a0c119c0438,probe00,churchlandlab,CSHL058,PO,2020-07-07,50,27.0,4.855603005252015,5.66775059842001,142.7949806973392,,0.45663109784383005,19.365754243007704,-152.52786,-178.74496,"[2, 15]","[20, 80]",7518603.0,21.2
46,69f42a9c-095d-4a25-bca8-61a9869871d3,dda5fc59-f09a-4256-9fb5-66c67667a466,probe00,churchlandlab,CSHL059,PPC,2020-03-06,28,11.0,5.4802647129501105,5.972527208645536,131.9914282703649,,0.37241364234053476,25.173057436661274,-131.05643,-167.73283,"[2, 15]","[20, 80]",4159115.5,17.6
