,eid,probe,lab,subject,region,date,n_channels,neuron_yield,firing_rate,spike_amp_mean,spike_amp_90,pt_ratio,rp_slope,lfp_power_low,lfp_power_high,lfp_band_low,lfp_band_high,rms_ap
45,ee40aece-cffd-4edb-a4b6-155f158c666a,probe00,mainenlab,ZM_2241,PO,2020-01-30,43,38.0,5.164118703730069,231.91723961419916,,0.5330323235947964,36.946998850043464,-145.50397,-177.38312,"[2, 15]","[20, 80]",24.32589
46,4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b,probe00,churchlandlab,CSHL049,VISa,2020-01-08,35,12.0,6.3266075752008755,199.9743137964124,326.22225853965296,0.38980005988514616,32.48257550015274,-115.38091,-158.9076,"[2, 15]","[20, 80]",28.879805
47,4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b,probe00,churchlandlab,CSHL049,CA1,2020-01-08,46,0.0,,,,,,-113.49919,-153.56134,"[2, 15]","[20, 80]",29.098
48,4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b,probe00,churchlandlab,CSHL049,DG,2020-01-08,50,1.0,4.355077309289281,210.90582770270265,210.90582770270265,0.5420272010482821,51.546663851351276,-111.24344,-146.98714,"[2, 15]","[20, 80]",32.172348
49,4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b,probe00,churchlandlab,CSHL049,LP,2020-01-08,35,0.0,,,,,,-115.59741,-157.93486,"[2, 15]","[20, 80]",27.411814
50,4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b,probe00,churchlandlab,CSHL049,PO,2020-01-08,0,,,,,,,,,"[2, 15]","[20, 80]",
51,ecb5520d-1358-434c-95ec-93687ecd1396,probe00,churchlandlab,CSHL051,VISa,2020-02-05,69,16.0,3.032517442935374,248.40316440949212,,0.4075337881403776,43.95642570117074,-124.01406,-168.8232,"[2, 15]","[20, 80]",25.035114
52,ecb5520d-1358-434c-95ec-93687ecd1396,probe00,churchlandlab,CSHL051,CA1,2020-02-05,39,2.0,1.1130162033236157,165.8511513157894,169.5703124999998,0.3814706413183743,,-120.94676,-160.27206,"[2, 15]","[20, 80]",28.392506
53,ecb5520d-1358-434c-95ec-93687ecd1396,probe00,churchlandlab,CSHL051,DG,2020-02-05,68,2.0,9.963301864232275,157.85889267501358,165.16154578010628,0.3644804579703178,29.991970956729467,-117.564766,-155.76917,"[2, 15]","[20, 80]",31.681253
54,ecb5520d-1358-434c-95ec-93687ecd1396,probe00,churchlandlab,CSHL051,LP,2020-02-05,0,,,,,,,,,"[2, 15]","[20, 80]",
55,ecb5520d-1358-434c-95ec-93687ecd1396,probe00,churchlandlab,CSHL051,PO,2020-02-05,0,,,,,,,,,"[2, 15]","[20, 80]",
56,54238fd6-d2d0-4408-b1a9-d19d24fd29ce,probe00,danlab,DY_018,VISa,2020-10-15,72,27.0,5.444283313288254,123.65186379038616,244.19077620967738,0.4561138701874129,20.21052378724581,-149.64098,-192.26393,"[2, 15]","[20, 80]",15.014596
57,54238fd6-d2d0-4408-b1a9-d19d24fd29ce,probe00,danlab,DY_018,CA1,2020-10-15,47,3.0,5.8752356595238275,109.48842846185043,162.208131306806,0.5228025426338704,24.43860814245472,-138.81287,-175.91861,"[2, 15]","[20, 80]",18.008835
58,54238fd6-d2d0-4408-b1a9-d19d24fd29ce,probe00,danlab,DY_018,DG,2020-10-15,29,1.0,28.84638287919298,148.09218750000016,148.09218750000016,0.5603642780993465,26.06718749999999,-127.111374,-162.58095,"[2, 15]","[20, 80]",22.115858
59,54238fd6-d2d0-4408-b1a9-d19d24fd29ce,probe00,danlab,DY_018,LP,2020-10-15,24,16.0,10.491799844405808,277.91260425638364,529.435997596154,0.49585899554475243,40.987808076729124,-148.3794,-184.2196,"[2, 15]","[20, 80]",29.850407
60,54238fd6-d2d0-4408-b1a9-d19d24fd29ce,probe00,danlab,DY_018,PO,2020-10-15,0,,,,,,,,,"[2, 15]","[20, 80]",
61,e535fb62-e245-4a48-b119-88ce62a6fe67,probe00,danlab,DY_013,VISa,2020-03-12,0,,,,,,,,,"[2, 15]","[20, 80]",
62,e535fb62-e245-4a48-b119-88ce62a6fe67,probe00,danlab,DY_013,CA1,2020-03-12,57,20.0,3.4573877843302987,119.03582882052179,,0.4663984066136012,22.045660458100333,-150.53792,-185.14061,"[2, 15]","[20, 80]",16.038013
63,e535fb62-e245-4a48-b119-88ce62a6fe67,probe00,danlab,DY_013,DG,2020-03-12,58,2.0,0.47940535029856346,58.73161764705881,,0.4157986462935189,7.51378676470588,-152.73625,-188.36528,"[2, 15]","[20, 80]",14.042806
64,e535fb62-e245-4a48-b119-88ce62a6fe67,probe00,danlab,DY_013,LP,2020-03-12,9,0.0,,,,,,-161.33875,-198.17725,"[2, 15]","[20, 80]",14.629479
65,e535fb62-e245-4a48-b119-88ce62a6fe67,probe00,danlab,DY_013,PO,2020-03-12,0,,,,,,,,,"[2, 15]","[20, 80]",
66,b03fbc44-3d8e-4a6c-8a50-5ea3498568e0,probe00,danlab,DY_010,VISa,2020-01-27,40,35.0,3.615612702989891,145.1165844221499,243.98803710937486,0.4315820345694468,22.193480052117437,-149.44269,-187.924,"[2, 15]","[20, 80]",14.1925125
67,b03fbc44-3d8e-4a6c-8a50-5ea3498568e0,probe00,danlab,DY_010,CA1,2020-01-27,52,16.0,8.40271652331489,129.83988807586212,228.97377825797884,0.5841237157981813,22.479031678039895,-138.51492,-172.82843,"[2, 15]","[20, 80]",16.724493
68,b03fbc44-3d8e-4a6c-8a50-5ea3498568e0,probe00,danlab,DY_010,DG,2020-01-27,58,9.0,5.081365828018456,293.4211749503929,534.2417279411764,0.4656077921659995,62.71260935119257,-124.29706,-154.99884,"[2, 15]","[20, 80]",23.82802
69,b03fbc44-3d8e-4a6c-8a50-5ea3498568e0,probe00,danlab,DY_010,LP,2020-01-27,40,21.0,7.285810716796742,165.377620100499,254.60625,0.508889936072366,23.316723670498188,-143.02303,-177.32028,"[2, 15]","[20, 80]",19.201618
70,b03fbc44-3d8e-4a6c-8a50-5ea3498568e0,probe00,danlab,DY_010,PO,2020-01-27,68,58.0,5.900812987382618,219.02462731062283,398.5866477272725,0.4538503320817235,30.389198537055226,-147.20605,-182.1923,"[2, 15]","[20, 80]",23.16055
71,db4df448-e449-4a6f-a0e7-288711e7a75a,probe00,danlab,DY_009,VISa,2020-02-27,0,,,,,,,,,"[2, 15]","[20, 80]",
72,db4df448-e449-4a6f-a0e7-288711e7a75a,probe00,danlab,DY_009,CA1,2020-02-27,47,27.0,6.083621273503026,180.39835352190133,,0.4007561666623811,31.01467321324678,-138.8982,-172.61707,"[2, 15]","[20, 80]",18.097904
73,db4df448-e449-4a6f-a0e7-288711e7a75a,probe00,danlab,DY_009,DG,2020-02-27,52,6.0,3.546697366411174,380.54764797690484,,0.3888023845792922,56.184360236192674,-128.417,-159.69093,"[2, 15]","[20, 80]",24.581003
74,db4df448-e449-4a6f-a0e7-288711e7a75a,probe00,danlab,DY_009,LP,2020-02-27,37,21.0,3.3378906631086163,168.77959448490273,303.2645089285714,0.6657963469449987,23.43402982083626,-147.65053,-182.91765,"[2, 15]","[20, 80]",17.773733
75,db4df448-e449-4a6f-a0e7-288711e7a75a,probe00,danlab,DY_009,PO,2020-02-27,0,,,,,,,,,"[2, 15]","[20, 80]",
76,064a7252-8e10-4ad6-b3fd-7a88a2db5463,probe00,zadorlab,CSH_ZAD_029,VISa,2020-09-09,27,17.0,7.239861618688346,186.49020685018888,265.0086861667744,0.47526491393282233,20.526802616140543,-133.53793,-174.17758,"[2, 15]","[20, 80]",25.891388
77,064a7252-8e10-4ad6-b3fd-7a88a2db5463,probe00,zadorlab,CSH_ZAD_029,CA1,2020-09-09,44,14.0,5.482076501356088,154.15552094164633,288.93155529429606,0.4113996699506503,30.151271496663895,-131.24435,-167.27124,"[2, 15]","[20, 80]",26.03666
78,064a7252-8e10-4ad6-b3fd-7a88a2db5463,probe00,zadorlab,CSH_ZAD_029,DG,2020-09-09,68,8.0,3.7235360464423897,172.45913079158723,,0.380239722114711,29.990074385991186,-125.94045,-159.58528,"[2, 15]","[20, 80]",28.509214
79,064a7252-8e10-4ad6-b3fd-7a88a2db5463,probe00,zadorlab,CSH_ZAD_029,LP,2020-09-09,61,45.0,4.679568823618965,188.01842289943824,,0.6189230850986932,28.79935084199485,-135.35979,-175.08286,"[2, 15]","[20, 80]",27.037066
80,064a7252-8e10-4ad6-b3fd-7a88a2db5463,probe00,zadorlab,CSH_ZAD_029,PO,2020-09-09,0,,,,,,,,,"[2, 15]","[20, 80]",
81,7cb81727-2097-4b52-b480-c89867b5b34c,probe01,mrsicflogellab,SWC_052,VISa,2020-10-22,0,,,,,,,,,"[2, 15]","[20, 80]",
82,7cb81727-2097-4b52-b480-c89867b5b34c,probe01,mrsicflogellab,SWC_052,CA1,2020-10-22,61,2.0,7.88521834260081,107.14530653625954,119.52312440362593,0.44083669070144993,18.993554900490743,-136.7132,-165.5352,"[2, 15]","[20, 80]",21.729439
83,7cb81727-2097-4b52-b480-c89867b5b34c,probe01,mrsicflogellab,SWC_052,DG,2020-10-22,48,1.0,14.394258884070702,168.44429347826082,168.44429347826082,0.5245488901347618,27.79969690635452,-129.35391,-156.2672,"[2, 15]","[20, 80]",25.855036
84,7cb81727-2097-4b52-b480-c89867b5b34c,probe01,mrsicflogellab,SWC_052,LP,2020-10-22,37,6.0,3.825123109079238,133.7157277910725,157.36734669586744,0.4471955789805862,17.93386081644663,-146.20384,-174.8188,"[2, 15]","[20, 80]",22.075693
85,7cb81727-2097-4b52-b480-c89867b5b34c,probe01,mrsicflogellab,SWC_052,PO,2020-10-22,0,,,,,,,,,"[2, 15]","[20, 80]",
86,41872d7f-75cb-4445-bb1a-132b354c44f0,probe01,mrsicflogellab,SWC_038,VISa,2020-07-29,90,18.0,2.6911245456243678,180.9617703121918,279.8464285714285,0.44820179181505676,23.84648602389511,-154.7796,-185.54068,"[2, 15]","[20, 80]",17.005838
87,41872d7f-75cb-4445-bb1a-132b354c44f0,probe01,mrsicflogellab,SWC_038,CA1,2020-07-29,44,6.0,7.114499541558463,148.92842877629312,214.98919547872342,0.46725313517368877,19.15074150451428,-133.02672,-165.25482,"[2, 15]","[20, 80]",21.382063
88,41872d7f-75cb-4445-bb1a-132b354c44f0,probe01,mrsicflogellab,SWC_038,DG,2020-07-29,70,6.0,1.8101006929410837,139.79834733566932,218.24776785714283,0.3853139695815007,35.341806367486356,-125.607605,-157.34071,"[2, 15]","[20, 80]",25.740711
89,41872d7f-75cb-4445-bb1a-132b354c44f0,probe01,mrsicflogellab,SWC_038,LP,2020-07-29,17,0.0,,,,,,-141.39246,-173.69121,"[2, 15]","[20, 80]",15.968568
90,41872d7f-75cb-4445-bb1a-132b354c44f0,probe01,mrsicflogellab,SWC_038,PO,2020-07-29,0,,,,,,,,,"[2, 15]","[20, 80]",
91,dfd8e7df-dc51-4589-b6ca-7baccfeb94b4,probe00,churchlandlab,CSHL045,VISa,2020-02-25,0,,,,,,,,,"[2, 15]","[20, 80]",
92,dfd8e7df-dc51-4589-b6ca-7baccfeb94b4,probe00,churchlandlab,CSHL045,CA1,2020-02-25,57,11.0,9.462203370055562,168.5922995799192,289.2489346590909,0.3207835835874212,43.91761200868927,-137.30827,-165.96927,"[2, 15]","[20, 80]",17.696613
93,dfd8e7df-dc51-4589-b6ca-7baccfeb94b4,probe00,churchlandlab,CSHL045,DG,2020-02-25,58,6.0,11.084405892371242,191.54634560116997,343.090233032646,0.3341485505355088,42.21177902808459,-inf,-inf,"[2, 15]","[20, 80]",23.273115
94,dfd8e7df-dc51-4589-b6ca-7baccfeb94b4,probe00,churchlandlab,CSHL045,LP,2020-02-25,62,45.0,3.2968372351909982,152.92726628051793,243.11595119975715,0.5161158351754569,22.49829499860055,-145.66165,-172.4601,"[2, 15]","[20, 80]",19.218428
95,dfd8e7df-dc51-4589-b6ca-7baccfeb94b4,probe00,churchlandlab,CSHL045,PO,2020-02-25,36,18.0,4.719436063296607,160.64883355498705,253.16352456302963,0.6761585899435695,24.496171402644094,-153.10869,-179.55856,"[2, 15]","[20, 80]",23.20133
96,4a45c8ba-db6f-4f11-9403-56e06a33dfa4,probe00,danlab,DY_020,VISa,2020-09-29,39,38.0,4.8494031317759365,153.0609024271257,,0.42081981134680124,23.479254799384695,-145.18015,-184.96521,"[2, 15]","[20, 80]",18.971987
97,4a45c8ba-db6f-4f11-9403-56e06a33dfa4,probe00,danlab,DY_020,CA1,2020-09-29,55,21.0,7.744194276122491,135.56612304735867,253.876953125,0.6863242974225318,27.72577531432717,-138.92984,-174.60483,"[2, 15]","[20, 80]",19.159946
98,4a45c8ba-db6f-4f11-9403-56e06a33dfa4,probe00,danlab,DY_020,DG,2020-09-29,6,0.0,,,,,,-121.12169,-154.8463,"[2, 15]","[20, 80]",26.254154
99,4a45c8ba-db6f-4f11-9403-56e06a33dfa4,probe00,danlab,DY_020,LP,2020-09-29,0,,,,,,,,,"[2, 15]","[20, 80]",
100,4a45c8ba-db6f-4f11-9403-56e06a33dfa4,probe00,danlab,DY_020,PO,2020-09-29,0,,,,,,,,,"[2, 15]","[20, 80]",
101,15763234-d21e-491f-a01b-1238eb96d389,probe00,zadorlab,CSH_ZAD_026,VISa,2020-09-04,4,0.0,,,,,,-153.00323,-189.20317,"[2, 15]","[20, 80]",9.030012
102,15763234-d21e-491f-a01b-1238eb96d389,probe00,zadorlab,CSH_ZAD_026,CA1,2020-09-04,49,11.0,6.125994991441167,177.23515801778774,442.7812499999999,0.8648821604563982,54.89492127856164,-145.88313,-176.6377,"[2, 15]","[20, 80]",14.046076
103,15763234-d21e-491f-a01b-1238eb96d389,probe00,zadorlab,CSH_ZAD_026,DG,2020-09-04,0,,,,,,,,,"[2, 15]","[20, 80]",
